,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
0,-0.5719,0.622,0.266,0.112,1,2018-04-11 19:13:15,1523473995.0
1,-0.1531,0.714,0.158,0.128,2,2018-04-11 11:18:13,1523445493.0
2,-0.7506,0.625,0.317,0.058,3,2018-04-11 11:09:59,1523444999.0
3,-0.4767,0.819,0.181,0.0,4,2018-04-11 09:22:44,1523438564.0
4,-0.8176,0.571,0.429,0.0,5,2018-04-11 08:29:12,1523435352.0
5,0.5707,0.862,0.0,0.138,6,2018-04-10 20:39:39,1523392779.0
6,0.5707,0.822,0.0,0.178,7,2018-04-10 20:33:30,1523392410.0
7,-0.7184,0.727,0.273,0.0,8,2018-04-10 15:18:40,1523373520.0
8,0.5267,0.784,0.0,0.216,9,2018-04-10 08:44:37,1523349877.0
9,-0.4939,0.833,0.167,0.0,10,2018-04-10 06:59:57,1523343597.0
10,0.0,1.0,0.0,0.0,11,2018-04-09 20:33:37,1523306017.0
11,-0.7845,0.622,0.378,0.0,12,2018-04-09 20:07:09,1523304429.0
12,-0.8176,0.706,0.294,0.0,13,2018-04-09 11:22:33,1523272953.0
13,-0.6486,0.823,0.177,0.0,14,2018-04-09 08:08:02,1523261282.0
14,-0.3612,0.848,0.152,0.0,15,2018-04-09 01:43:03,1523238183.0
15,0.5719,0.791,0.0,0.209,16,2018-04-08 22:42:56,1523227376.0
16,0.34,0.876,0.0,0.124,17,2018-04-08 20:58:33,1523221113.0
17,-0.7003,0.672,0.328,0.0,18,2018-04-08 13:34:07,1523194447.0
18,-0.7003,0.702,0.298,0.0,19,2018-04-07 23:06:07,1523142367.0
19,0.0772,0.933,0.0,0.067,20,2018-04-07 21:59:55,1523138395.0
20,-0.6705,0.809,0.191,0.0,21,2018-04-07 19:26:41,1523129201.0
21,0.0,1.0,0.0,0.0,22,2018-04-07 17:06:07,1523120767.0
22,-0.3612,0.884,0.116,0.0,23,2018-04-07 16:48:50,1523119730.0
23,-0.6486,0.736,0.264,0.0,24,2018-04-07 16:07:59,1523117279.0
24,-0.4939,0.833,0.167,0.0,25,2018-04-07 15:51:37,1523116297.0
25,0.0,1.0,0.0,0.0,26,2018-04-07 15:25:09,1523114709.0
26,-0.765,0.663,0.337,0.0,27,2018-04-07 14:59:29,1523113169.0
27,0.0,1.0,0.0,0.0,28,2018-04-07 14:44:02,1523112242.0
