,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
0,0.0,1.0,0.0,0.0,1,2018-04-11 22:15:01,1523484901.0
1,0.1779,0.694,0.118,0.188,2,2018-04-11 22:00:02,1523484002.0
2,0.1027,0.677,0.135,0.188,3,2018-04-11 21:45:01,1523483101.0
3,-0.5267,0.669,0.232,0.098,4,2018-04-11 21:25:31,1523481931.0
4,0.4019,0.863,0.0,0.137,5,2018-04-11 21:19:02,1523481542.0
5,-0.34,0.882,0.118,0.0,6,2018-04-11 21:15:01,1523481301.0
6,0.0,1.0,0.0,0.0,7,2018-04-11 21:05:00,1523480700.0
7,-0.9081,0.584,0.416,0.0,8,2018-04-11 21:00:01,1523480401.0
8,0.0,1.0,0.0,0.0,9,2018-04-11 20:30:01,1523478601.0
9,0.34,0.848,0.0,0.152,10,2018-04-11 20:28:52,1523478532.0
10,-0.5423,0.837,0.163,0.0,11,2018-04-11 20:25:26,1523478326.0
11,0.8055,0.645,0.0,0.355,12,2018-04-11 20:17:13,1523477833.0
12,-0.7579,0.632,0.281,0.088,13,2018-04-11 20:15:42,1523477742.0
13,0.6486,0.762,0.0,0.238,14,2018-04-11 20:13:18,1523477598.0
14,0.6705,0.718,0.0,0.282,15,2018-04-11 20:10:41,1523477441.0
15,0.0,1.0,0.0,0.0,16,2018-04-11 20:06:30,1523477190.0
16,-0.9423,0.459,0.498,0.043,17,2018-04-11 19:45:01,1523475901.0
17,0.0,1.0,0.0,0.0,18,2018-04-11 19:30:44,1523475044.0
18,-0.0516,0.766,0.121,0.113,19,2018-04-11 19:15:02,1523474102.0
19,0.0,1.0,0.0,0.0,20,2018-04-11 19:00:36,1523473236.0
20,0.0,1.0,0.0,0.0,21,2018-04-11 18:46:26,1523472386.0
21,0.0,1.0,0.0,0.0,22,2018-04-11 18:30:01,1523471401.0
22,0.0,1.0,0.0,0.0,23,2018-04-11 18:15:01,1523470501.0
23,-0.4767,0.846,0.154,0.0,24,2018-04-11 18:00:01,1523469601.0
24,0.1045,0.94,0.0,0.06,25,2018-04-11 17:46:01,1523468761.0
25,-0.6135,0.791,0.209,0.0,26,2018-04-11 17:31:44,1523467904.0
26,0.0,1.0,0.0,0.0,27,2018-04-11 17:31:35,1523467895.0
27,0.0,1.0,0.0,0.0,28,2018-04-11 17:26:44,1523467604.0
28,-0.1531,0.882,0.118,0.0,29,2018-04-11 17:21:01,1523467261.0
29,-0.6597,0.759,0.241,0.0,30,2018-04-11 17:01:59,1523466119.0
30,0.0,1.0,0.0,0.0,31,2018-04-11 16:55:32,1523465732.0
31,-0.296,0.901,0.099,0.0,32,2018-04-11 16:48:08,1523465288.0
32,-0.3566,0.903,0.097,0.0,33,2018-04-11 16:32:57,1523464377.0
33,-0.4238,0.725,0.194,0.081,34,2018-04-11 16:25:46,1523463946.0
34,0.7003,0.756,0.0,0.244,35,2018-04-11 16:20:53,1523463653.0
35,0.5106,0.852,0.0,0.148,36,2018-04-11 16:14:48,1523463288.0
36,0.0,1.0,0.0,0.0,37,2018-04-11 16:08:31,1523462911.0
37,-0.4215,0.865,0.135,0.0,38,2018-04-11 15:54:53,1523462093.0
38,0.0,1.0,0.0,0.0,39,2018-04-11 15:41:13,1523461273.0
39,-0.6486,0.773,0.227,0.0,40,2018-04-11 15:35:06,1523460906.0
40,-0.1695,0.926,0.074,0.0,41,2018-04-11 15:29:55,1523460595.0
41,-0.1027,0.924,0.076,0.0,42,2018-04-11 15:26:39,1523460399.0
42,0.0,1.0,0.0,0.0,43,2018-04-11 15:13:16,1523459596.0
43,0.3182,0.901,0.0,0.099,44,2018-04-11 15:09:48,1523459388.0
44,-0.7964,0.747,0.253,0.0,45,2018-04-11 15:00:17,1523458817.0
45,0.0,1.0,0.0,0.0,46,2018-04-11 14:55:34,1523458534.0
46,0.0,1.0,0.0,0.0,47,2018-04-11 14:50:47,1523458247.0
47,0.4019,0.876,0.0,0.124,48,2018-04-11 14:45:18,1523457918.0
48,0.0516,0.805,0.093,0.102,49,2018-04-11 14:30:35,1523457035.0
49,0.0,1.0,0.0,0.0,50,2018-04-11 14:28:45,1523456925.0
50,0.0,1.0,0.0,0.0,51,2018-04-11 14:25:31,1523456731.0
51,0.0,1.0,0.0,0.0,52,2018-04-11 14:22:27,1523456547.0
52,0.3818,0.898,0.0,0.102,53,2018-04-11 14:20:54,1523456454.0
53,-0.1027,0.935,0.065,0.0,54,2018-04-11 14:19:19,1523456359.0
54,0.0,1.0,0.0,0.0,55,2018-04-11 14:17:05,1523456225.0
55,0.2732,0.896,0.0,0.104,56,2018-04-11 14:09:15,1523455755.0
56,-0.1027,0.896,0.104,0.0,57,2018-04-11 14:00:29,1523455229.0
57,0.7003,0.766,0.0,0.234,58,2018-04-11 13:57:56,1523455076.0
58,0.0,1.0,0.0,0.0,59,2018-04-11 13:55:13,1523454913.0
59,0.0,1.0,0.0,0.0,60,2018-04-11 13:45:30,1523454330.0
60,0.7351,0.763,0.0,0.237,61,2018-04-11 13:39:33,1523453973.0
61,0.0,1.0,0.0,0.0,62,2018-04-11 13:28:45,1523453325.0
62,0.25,0.92,0.0,0.08,63,2018-04-11 13:23:22,1523453002.0
63,0.2023,0.909,0.0,0.091,64,2018-04-11 13:20:46,1523452846.0
64,0.2732,0.876,0.0,0.124,65,2018-04-11 13:16:02,1523452562.0
65,-0.296,0.891,0.109,0.0,66,2018-04-11 13:15:00,1523452500.0
66,0.0,1.0,0.0,0.0,67,2018-04-11 13:12:37,1523452357.0
67,-0.2023,0.909,0.091,0.0,68,2018-04-11 13:10:29,1523452229.0
68,0.0,1.0,0.0,0.0,69,2018-04-11 13:06:16,1523451976.0
69,0.0,1.0,0.0,0.0,70,2018-04-11 13:04:36,1523451876.0
70,0.4754,0.866,0.0,0.134,71,2018-04-11 13:01:14,1523451674.0
71,0.2732,0.896,0.0,0.104,72,2018-04-11 13:00:02,1523451602.0
72,0.0258,0.945,0.0,0.055,73,2018-04-11 12:55:32,1523451332.0
73,0.7506,0.652,0.076,0.272,74,2018-04-11 12:50:58,1523451058.0
74,0.0,1.0,0.0,0.0,75,2018-04-11 12:49:23,1523450963.0
75,0.0,1.0,0.0,0.0,76,2018-04-11 12:47:21,1523450841.0
76,-0.0258,0.857,0.074,0.069,77,2018-04-11 12:45:01,1523450701.0
77,-0.3182,0.641,0.221,0.139,78,2018-04-11 12:35:13,1523450113.0
78,0.0,1.0,0.0,0.0,79,2018-04-11 12:33:52,1523450032.0
79,0.3595,0.894,0.0,0.106,80,2018-04-11 12:32:34,1523449954.0
80,-0.6705,0.8,0.2,0.0,81,2018-04-11 12:30:26,1523449826.0
81,0.0,1.0,0.0,0.0,82,2018-04-11 12:27:32,1523449652.0
82,0.0,1.0,0.0,0.0,83,2018-04-11 12:20:37,1523449237.0
83,0.2732,0.782,0.078,0.14,84,2018-04-11 12:15:01,1523448901.0
84,0.0,1.0,0.0,0.0,85,2018-04-11 12:14:16,1523448856.0
