,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
0,0.0,1.0,0.0,0.0,1,2018-04-11 21:21:21,1523481681.0
1,-0.4215,0.746,0.16,0.093,2,2018-04-11 17:52:41,1523469161.0
2,0.0,1.0,0.0,0.0,3,2018-04-11 15:55:03,1523462103.0
3,0.4939,0.802,0.0,0.198,4,2018-04-11 15:35:13,1523460913.0
4,0.0,1.0,0.0,0.0,5,2018-04-11 15:16:55,1523459815.0
5,0.0,1.0,0.0,0.0,6,2018-04-11 14:10:14,1523455814.0
6,0.34,0.897,0.0,0.103,7,2018-04-11 13:38:00,1523453880.0
7,0.0,1.0,0.0,0.0,8,2018-04-11 12:53:10,1523451190.0
8,-0.1027,0.779,0.119,0.102,9,2018-04-11 11:34:02,1523446442.0
9,0.0,1.0,0.0,0.0,10,2018-04-11 09:40:55,1523439655.0
10,0.0772,0.769,0.109,0.122,11,2018-04-10 23:03:44,1523401424.0
11,0.128,0.765,0.104,0.131,12,2018-04-10 20:05:30,1523390730.0
12,0.4019,0.847,0.0,0.153,13,2018-04-10 20:00:59,1523390459.0
13,0.4019,0.739,0.097,0.163,14,2018-04-10 19:36:14,1523388974.0
14,0.0772,0.766,0.092,0.142,15,2018-04-10 19:13:24,1523387604.0
15,0.0,1.0,0.0,0.0,16,2018-04-10 18:56:11,1523386571.0
16,0.0,1.0,0.0,0.0,17,2018-04-10 18:38:41,1523385521.0
17,0.0,1.0,0.0,0.0,18,2018-04-10 18:30:06,1523385006.0
18,0.1027,0.747,0.115,0.138,19,2018-04-10 14:43:32,1523371412.0
19,0.0,1.0,0.0,0.0,20,2018-04-10 14:16:08,1523369768.0
20,-0.128,0.702,0.164,0.135,21,2018-04-10 13:40:25,1523367625.0
21,-0.2263,0.909,0.091,0.0,22,2018-04-10 13:28:49,1523366929.0
22,0.4767,0.773,0.0,0.227,23,2018-04-10 12:13:53,1523362433.0
23,-0.4939,0.856,0.144,0.0,24,2018-04-10 08:50:55,1523350255.0
24,0.0,1.0,0.0,0.0,25,2018-04-10 08:47:05,1523350025.0
25,0.4019,0.863,0.0,0.137,26,2018-04-10 01:27:53,1523323673.0
26,0.2732,0.9,0.0,0.1,27,2018-04-10 00:00:19,1523318419.0
27,0.0,1.0,0.0,0.0,28,2018-04-09 22:47:43,1523314063.0
28,-0.8126,0.63,0.37,0.0,29,2018-04-09 22:09:32,1523311772.0
29,0.0,1.0,0.0,0.0,30,2018-04-09 21:41:09,1523310069.0
30,0.0,1.0,0.0,0.0,31,2018-04-09 20:19:42,1523305182.0
31,-0.4767,0.846,0.154,0.0,32,2018-04-09 19:33:44,1523302424.0
32,0.0,1.0,0.0,0.0,33,2018-04-09 17:49:30,1523296170.0
33,-0.6705,0.824,0.176,0.0,34,2018-04-09 17:05:22,1523293522.0
34,-0.4404,0.861,0.139,0.0,35,2018-04-09 16:55:19,1523292919.0
35,-0.802,0.584,0.339,0.077,36,2018-04-09 16:35:08,1523291708.0
36,0.0,1.0,0.0,0.0,37,2018-04-09 12:46:13,1523277973.0
37,0.5859,0.84,0.0,0.16,38,2018-04-08 22:49:43,1523227783.0
38,-0.802,0.625,0.375,0.0,39,2018-04-08 22:35:59,1523226959.0
39,0.0,1.0,0.0,0.0,40,2018-04-08 18:37:06,1523212626.0
40,-0.7351,0.744,0.256,0.0,41,2018-04-08 13:54:12,1523195652.0
41,-0.6249,0.779,0.221,0.0,42,2018-04-08 13:45:09,1523195109.0
42,-0.8519,0.617,0.383,0.0,43,2018-04-08 13:28:52,1523194132.0
43,0.0,1.0,0.0,0.0,44,2018-04-08 13:27:11,1523194031.0
44,0.5709,0.817,0.0,0.183,45,2018-04-08 13:18:33,1523193513.0
45,-0.4019,0.87,0.13,0.0,46,2018-04-08 13:17:01,1523193421.0
46,0.0258,0.645,0.174,0.181,47,2018-04-08 04:45:33,1523162733.0
47,-0.8271,0.648,0.352,0.0,48,2018-04-08 01:34:32,1523151272.0
48,-0.8271,0.686,0.314,0.0,49,2018-04-08 00:27:18,1523147238.0
49,-0.802,0.725,0.275,0.0,50,2018-04-08 00:18:20,1523146700.0
50,-0.8225,0.703,0.297,0.0,51,2018-04-07 23:49:19,1523144959.0
51,-0.802,0.603,0.397,0.0,52,2018-04-07 23:29:39,1523143779.0
52,-0.7783,0.605,0.274,0.121,53,2018-04-07 21:50:00,1523137800.0
53,-0.8225,0.691,0.309,0.0,54,2018-04-07 20:06:10,1523131570.0
54,-0.6705,0.8,0.2,0.0,55,2018-04-07 19:58:27,1523131107.0
55,-0.6486,0.807,0.193,0.0,56,2018-04-07 16:00:34,1523116834.0
56,0.0,1.0,0.0,0.0,57,2018-04-07 14:10:44,1523110244.0
57,-0.3818,0.752,0.159,0.088,58,2018-04-07 10:58:13,1523098693.0
58,-0.7906,0.696,0.304,0.0,59,2018-04-07 08:18:29,1523089109.0
59,-0.7906,0.696,0.304,0.0,60,2018-04-07 07:58:48,1523087928.0
60,-0.6808,0.72,0.28,0.0,61,2018-04-07 02:16:52,1523067412.0
61,-0.5859,0.84,0.16,0.0,62,2018-04-07 01:57:36,1523066256.0
62,0.5267,0.848,0.0,0.152,63,2018-04-07 01:02:53,1523062973.0
63,0.0,1.0,0.0,0.0,64,2018-04-07 00:01:56,1523059316.0
64,0.5574,0.777,0.0,0.223,65,2018-04-07 00:01:51,1523059311.0
65,0.4019,0.847,0.0,0.153,66,2018-04-06 23:09:31,1523056171.0
66,0.4404,0.813,0.0,0.187,67,2018-04-06 22:08:39,1523052519.0
67,0.0,1.0,0.0,0.0,68,2018-04-06 21:40:58,1523050858.0
68,-0.4497,0.886,0.114,0.0,69,2018-04-06 20:16:34,1523045794.0
69,-0.5574,0.765,0.235,0.0,70,2018-04-06 19:05:41,1523041541.0
70,-0.34,0.862,0.138,0.0,71,2018-04-06 18:07:07,1523038027.0
71,0.34,0.882,0.0,0.118,72,2018-04-06 17:15:12,1523034912.0
72,-0.765,0.678,0.322,0.0,73,2018-04-06 13:32:18,1523021538.0
73,0.0,1.0,0.0,0.0,74,2018-04-06 13:02:49,1523019769.0
74,-0.2023,0.773,0.132,0.095,75,2018-04-06 12:40:57,1523018457.0
75,-0.6369,0.577,0.312,0.112,76,2018-04-06 08:34:12,1523003652.0
76,-0.7906,0.708,0.292,0.0,77,2018-04-06 07:08:50,1522998530.0
77,-0.4019,0.638,0.238,0.123,78,2018-04-06 03:44:20,1522986260.0
78,0.4019,0.87,0.0,0.13,79,2018-04-06 03:03:48,1522983828.0
79,-0.802,0.725,0.275,0.0,80,2018-04-06 03:03:43,1522983823.0
80,-0.6124,0.702,0.231,0.066,81,2018-04-05 23:26:35,1522970795.0
81,0.0,1.0,0.0,0.0,82,2018-04-05 21:27:06,1522963626.0
82,0.3182,0.83,0.057,0.114,83,2018-04-05 19:13:22,1522955602.0
83,-0.296,0.891,0.109,0.0,84,2018-04-05 17:22:41,1522948961.0
84,-0.5106,0.731,0.21,0.059,85,2018-04-05 17:03:50,1522947830.0
85,-0.3182,0.892,0.108,0.0,86,2018-04-05 17:03:35,1522947815.0
86,0.0,1.0,0.0,0.0,87,2018-04-05 15:02:15,1522940535.0
87,-0.7906,0.68,0.32,0.0,88,2018-04-05 09:32:16,1522920736.0
88,-0.2732,0.896,0.104,0.0,89,2018-04-05 00:32:40,1522888360.0
89,0.0,1.0,0.0,0.0,90,2018-04-04 23:36:24,1522884984.0
90,0.34,0.862,0.0,0.138,91,2018-04-04 19:41:48,1522870908.0
91,0.34,0.876,0.0,0.124,92,2018-04-04 19:35:36,1522870536.0
92,0.5859,0.808,0.0,0.192,93,2018-04-04 17:44:17,1522863857.0
93,0.0,1.0,0.0,0.0,94,2018-04-04 17:09:18,1522861758.0
94,0.0,1.0,0.0,0.0,95,2018-04-04 16:16:06,1522858566.0
95,0.2732,0.89,0.0,0.11,96,2018-04-04 15:43:36,1522856616.0
96,-0.34,0.817,0.125,0.058,97,2018-04-04 14:57:19,1522853839.0
97,0.0,1.0,0.0,0.0,98,2018-04-04 13:34:28,1522848868.0
98,0.0,1.0,0.0,0.0,99,2018-04-04 13:26:31,1522848391.0
99,0.0,1.0,0.0,0.0,100,2018-04-04 12:37:01,1522845421.0
