,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
0,0.624,0.663,0.0,0.337,1,2018-04-11 22:29:54,1523485794.0
1,-0.34,0.844,0.156,0.0,2,2018-04-11 22:19:59,1523485199.0
2,0.0,1.0,0.0,0.0,3,2018-04-11 22:17:42,1523485062.0
3,0.0,1.0,0.0,0.0,4,2018-04-11 22:13:57,1523484837.0
4,0.6369,0.634,0.0,0.366,5,2018-04-11 22:11:17,1523484677.0
5,0.0,1.0,0.0,0.0,6,2018-04-11 22:03:40,1523484220.0
6,0.3612,0.872,0.0,0.128,7,2018-04-11 21:57:00,1523483820.0
7,0.505,0.838,0.0,0.162,8,2018-04-11 21:52:00,1523483520.0
8,0.3182,0.874,0.0,0.126,9,2018-04-11 21:48:13,1523483293.0
9,0.0,1.0,0.0,0.0,10,2018-04-11 21:43:04,1523482984.0
10,-0.9062,0.363,0.637,0.0,11,2018-04-11 21:42:46,1523482966.0
11,0.0,1.0,0.0,0.0,12,2018-04-11 21:34:40,1523482480.0
12,-0.5413,0.845,0.155,0.0,13,2018-04-11 21:33:00,1523482380.0
13,0.7003,0.608,0.0,0.392,14,2018-04-11 21:31:42,1523482302.0
14,-0.5859,0.725,0.275,0.0,15,2018-04-11 21:24:26,1523481866.0
15,0.872,0.562,0.0,0.438,16,2018-04-11 21:22:18,1523481738.0
16,-0.1531,0.922,0.078,0.0,17,2018-04-11 21:22:00,1523481720.0
17,-0.3818,0.776,0.224,0.0,18,2018-04-11 21:15:00,1523481300.0
18,-0.3818,0.88,0.12,0.0,19,2018-04-11 21:11:36,1523481096.0
19,0.0,1.0,0.0,0.0,20,2018-04-11 21:09:03,1523480943.0
20,0.2086,0.814,0.067,0.119,21,2018-04-11 21:04:58,1523480698.0
21,0.3612,0.865,0.0,0.135,22,2018-04-11 21:01:43,1523480503.0
22,-0.7184,0.727,0.273,0.0,23,2018-04-11 21:01:29,1523480489.0
23,0.0,1.0,0.0,0.0,24,2018-04-11 21:00:35,1523480435.0
24,-0.2023,0.682,0.182,0.136,25,2018-04-11 20:58:33,1523480313.0
25,0.0,1.0,0.0,0.0,26,2018-04-11 20:43:12,1523479392.0
26,0.6369,0.714,0.0,0.286,27,2018-04-11 20:36:01,1523478961.0
27,0.0,1.0,0.0,0.0,28,2018-04-11 20:30:33,1523478633.0
28,0.0,1.0,0.0,0.0,29,2018-04-11 20:30:27,1523478627.0
29,0.0,1.0,0.0,0.0,30,2018-04-11 20:23:06,1523478186.0
30,0.3182,0.892,0.0,0.108,31,2018-04-11 20:18:13,1523477893.0
31,0.0772,0.936,0.0,0.064,32,2018-04-11 20:13:10,1523477590.0
32,0.6486,0.751,0.0,0.249,33,2018-04-11 20:09:29,1523477369.0
33,-0.1531,0.679,0.179,0.142,34,2018-04-11 20:06:33,1523477193.0
34,0.4588,0.85,0.0,0.15,35,2018-04-11 20:05:22,1523477122.0
35,0.3818,0.88,0.0,0.12,36,2018-04-11 20:03:27,1523477007.0
36,0.0,1.0,0.0,0.0,37,2018-04-11 20:01:09,1523476869.0
37,0.0,1.0,0.0,0.0,38,2018-04-11 19:58:00,1523476680.0
