,Compound,Negative,Neutral,Positive,Tweet_counter,datetime,timestamp
0,0.0,1.0,0.0,0.0,1,2018-04-11 22:17:01,1523485021.0
1,0.0,1.0,0.0,0.0,2,2018-04-11 22:01:03,1523484063.0
2,0.5859,0.714,0.0,0.286,3,2018-04-11 21:46:05,1523483165.0
3,0.0,1.0,0.0,0.0,4,2018-04-11 21:31:04,1523482264.0
4,-0.296,0.845,0.155,0.0,5,2018-04-11 21:16:07,1523481367.0
5,0.3885,0.832,0.0,0.168,6,2018-04-11 21:03:04,1523480584.0
6,0.6249,0.788,0.0,0.212,7,2018-04-11 21:01:06,1523480466.0
7,0.3182,0.827,0.0,0.173,8,2018-04-11 20:46:04,1523479564.0
8,-0.4767,0.838,0.162,0.0,9,2018-04-11 20:31:04,1523478664.0
9,0.0,1.0,0.0,0.0,10,2018-04-11 20:20:07,1523478007.0
10,0.0,1.0,0.0,0.0,11,2018-04-11 20:11:04,1523477464.0
11,0.0,1.0,0.0,0.0,12,2018-04-11 20:01:01,1523476861.0
12,-0.3612,0.865,0.135,0.0,13,2018-04-11 19:46:09,1523475969.0
13,0.4215,0.899,0.0,0.101,14,2018-04-11 19:24:04,1523474644.0
14,0.0,1.0,0.0,0.0,15,2018-04-11 19:00:29,1523473229.0
15,-0.2023,0.819,0.108,0.073,16,2018-04-11 18:46:04,1523472364.0
16,0.3254,0.9,0.0,0.1,17,2018-04-11 18:37:20,1523471840.0
17,0.0,1.0,0.0,0.0,18,2018-04-11 18:31:43,1523471503.0
18,0.0,1.0,0.0,0.0,19,2018-04-11 18:20:16,1523470816.0
19,0.0,1.0,0.0,0.0,20,2018-04-11 18:16:04,1523470564.0
20,0.1531,0.769,0.104,0.127,21,2018-04-11 18:01:05,1523469665.0
21,0.0,1.0,0.0,0.0,22,2018-04-11 17:46:05,1523468765.0
22,-0.5423,0.72,0.28,0.0,23,2018-04-11 17:31:07,1523467867.0
23,0.0,1.0,0.0,0.0,24,2018-04-11 17:16:06,1523466966.0
24,-0.6652,0.81,0.19,0.0,25,2018-04-11 17:06:47,1523466407.0
25,-0.9062,0.627,0.373,0.0,26,2018-04-11 17:01:01,1523466061.0
26,0.0,1.0,0.0,0.0,27,2018-04-11 16:46:05,1523465165.0
27,0.0772,0.933,0.0,0.067,28,2018-04-11 16:31:04,1523464264.0
28,-0.2263,0.905,0.095,0.0,29,2018-04-11 16:15:03,1523463303.0
29,0.0,1.0,0.0,0.0,30,2018-04-11 16:12:46,1523463166.0
30,-0.3182,0.85,0.15,0.0,31,2018-04-11 16:09:23,1523462963.0
31,0.2263,0.826,0.0,0.174,32,2018-04-11 16:06:16,1523462776.0
32,-0.8271,0.675,0.325,0.0,33,2018-04-11 16:03:13,1523462593.0
33,0.5859,0.714,0.0,0.286,34,2018-04-11 16:00:17,1523462417.0
34,0.5267,0.779,0.0,0.221,35,2018-04-11 15:52:54,1523461974.0
35,0.0,1.0,0.0,0.0,36,2018-04-11 15:46:09,1523461569.0
36,0.0,1.0,0.0,0.0,37,2018-04-11 15:31:07,1523460667.0
37,0.0,1.0,0.0,0.0,38,2018-04-11 15:16:07,1523459767.0
38,0.0,1.0,0.0,0.0,39,2018-04-11 15:01:01,1523458861.0
39,0.357,0.899,0.0,0.101,40,2018-04-11 14:46:09,1523457969.0
40,-0.0516,0.95,0.05,0.0,41,2018-04-11 14:40:25,1523457625.0
41,-0.6705,0.791,0.209,0.0,42,2018-04-11 14:28:39,1523456919.0
42,-0.3182,0.887,0.113,0.0,43,2018-04-11 14:10:02,1523455802.0
43,0.0,1.0,0.0,0.0,44,2018-04-11 14:01:06,1523455266.0
44,0.0,1.0,0.0,0.0,45,2018-04-11 13:48:55,1523454535.0
45,0.0,1.0,0.0,0.0,46,2018-04-11 13:38:42,1523453922.0
46,-0.5106,0.829,0.171,0.0,47,2018-04-11 13:36:42,1523453802.0
47,0.0,1.0,0.0,0.0,48,2018-04-11 13:35:51,1523453751.0
48,0.1531,0.783,0.096,0.122,49,2018-04-11 13:34:49,1523453689.0
49,0.0,1.0,0.0,0.0,50,2018-04-11 13:26:58,1523453218.0
50,0.6486,0.782,0.0,0.218,51,2018-04-11 13:24:00,1523453040.0
51,0.0,1.0,0.0,0.0,52,2018-04-11 13:22:15,1523452935.0
52,0.0,1.0,0.0,0.0,53,2018-04-11 13:19:57,1523452797.0
53,-0.3182,0.897,0.103,0.0,54,2018-04-11 13:16:50,1523452610.0
54,0.0,1.0,0.0,0.0,55,2018-04-11 13:14:27,1523452467.0
55,-0.2263,0.84,0.16,0.0,56,2018-04-11 13:11:56,1523452316.0
56,0.0,1.0,0.0,0.0,57,2018-04-11 13:08:17,1523452097.0
57,-0.34,0.876,0.124,0.0,58,2018-04-11 12:59:13,1523451553.0
58,0.4019,0.876,0.0,0.124,59,2018-04-11 12:46:01,1523450761.0
59,0.0,1.0,0.0,0.0,60,2018-04-11 12:31:04,1523449864.0
60,0.4404,0.873,0.0,0.127,61,2018-04-11 12:22:05,1523449325.0
61,0.0772,0.81,0.089,0.101,62,2018-04-11 12:08:05,1523448485.0
62,0.7906,0.667,0.0,0.333,63,2018-04-11 11:55:05,1523447705.0
63,0.1779,0.795,0.088,0.117,64,2018-04-11 11:49:45,1523447385.0
64,0.2023,0.548,0.199,0.253,65,2018-04-11 11:43:45,1523447025.0
65,0.0,1.0,0.0,0.0,66,2018-04-11 11:42:02,1523446922.0
66,-0.34,0.876,0.124,0.0,67,2018-04-11 11:30:09,1523446209.0
67,-0.0258,0.7,0.132,0.167,68,2018-04-11 11:17:03,1523445423.0
68,0.0,1.0,0.0,0.0,69,2018-04-11 11:10:52,1523445052.0
69,0.0,1.0,0.0,0.0,70,2018-04-11 11:02:02,1523444522.0
70,0.4404,0.775,0.0,0.225,71,2018-04-11 10:58:32,1523444312.0
71,0.0,1.0,0.0,0.0,72,2018-04-11 10:43:52,1523443432.0
72,0.0,1.0,0.0,0.0,73,2018-04-11 10:33:02,1523442782.0
73,0.25,0.85,0.0,0.15,74,2018-04-11 10:02:05,1523440925.0
74,-0.4019,0.828,0.172,0.0,75,2018-04-11 09:44:03,1523439843.0
75,0.2263,0.808,0.0,0.192,76,2018-04-11 09:42:32,1523439752.0
76,-0.5423,0.857,0.143,0.0,77,2018-04-11 09:25:05,1523438705.0
77,0.0,1.0,0.0,0.0,78,2018-04-11 08:58:25,1523437105.0
78,0.0,1.0,0.0,0.0,79,2018-04-11 08:56:02,1523436962.0
79,0.0,1.0,0.0,0.0,80,2018-04-11 08:25:02,1523435102.0
80,0.4767,0.866,0.0,0.134,81,2018-04-11 07:55:06,1523433306.0
81,0.0,1.0,0.0,0.0,82,2018-04-11 07:42:31,1523432551.0
82,0.34,0.685,0.109,0.206,83,2018-04-11 07:25:04,1523431504.0
83,-0.25,0.632,0.211,0.158,84,2018-04-11 07:06:31,1523430391.0
84,0.0,1.0,0.0,0.0,85,2018-04-11 06:56:15,1523429775.0
85,0.0,1.0,0.0,0.0,86,2018-04-11 06:38:28,1523428708.0
86,0.3804,0.714,0.091,0.194,87,2018-04-11 06:28:02,1523428082.0
87,0.0,1.0,0.0,0.0,88,2018-04-11 06:09:42,1523426982.0
88,0.25,0.817,0.067,0.115,89,2018-04-11 06:07:24,1523426844.0
89,0.0,1.0,0.0,0.0,90,2018-04-11 05:50:04,1523425804.0
90,-0.8173,0.691,0.309,0.0,91,2018-04-11 05:32:06,1523424726.0
91,-0.5994,0.769,0.231,0.0,92,2018-04-11 05:25:49,1523424349.0
92,0.0,1.0,0.0,0.0,93,2018-04-11 05:01:26,1523422886.0
93,0.0,1.0,0.0,0.0,94,2018-04-11 04:47:06,1523422026.0
94,0.0,1.0,0.0,0.0,95,2018-04-11 04:32:03,1523421123.0
95,0.0,1.0,0.0,0.0,96,2018-04-11 04:17:34,1523420254.0
96,0.0,1.0,0.0,0.0,97,2018-04-11 04:02:06,1523419326.0
97,-0.4215,0.887,0.113,0.0,98,2018-04-11 03:47:05,1523418425.0
98,0.4215,0.676,0.0,0.324,99,2018-04-11 03:32:05,1523417525.0
99,-0.7096,0.558,0.339,0.104,100,2018-04-11 03:17:04,1523416624.0
